"strain" "sex" "age" "trans1st10min" "trans3rd5min" "bothcyl.1st10min" "nonsoc.3rd5min" "soc.3rd5min"
"78" "C57BL6/J" "Male" "32days" 22 3 13 2 18
"79" "C57BL6/J" "Female" "32days" 11 1 1 0 3
"80" "C57BL6/J" "Female" "32days" 64 18 3 2 6
"81" "C57BL6/J" "Male" "32days" 61 12 2 0 8
"82" "C57BL6/J" "Male" "32days" 87 26 7 0 38
"83" "C57BL6/J" "Female" "20days" 66 1 1 0 20
"84" "C57BL6/J" "Female" "20days" 51 2 3 0 5
"85" "C57BL6/J" "Male" "20days" 83 8 1 0 0
"86" "C57BL6/J" "Male" "20days" 90 17 0 0 1
"87" "C57BL6/J" "Female" "71days" 222 68 23 11 122
"88" "C57BL6/J" "Female" "71days" 136 37 45 16 65
"89" "C57BL6/J" "Male" "71days" 158 47 34 7 129
"90" "C57BL6/J" "Female" "71days" 74 22 23 15 43
"91" "C57BL6/J" "Female" "71days" 85 23 43 5 85
"92" "C57BL6/J" "Male" "71days" 106 28 36 8 104
"93" "C57BL6/J" "Male" "71days" 24 6 6 0 21
"94" "C57BL6/J" "Female" "20days" 59 3 49 1 65
"95" "C57BL6/J" "Female" "20days" 28 9 8 10 78
"96" "C57BL6/J" "Male" "20days" 58 7 18 1 84
"97" "C57BL6/J" "Male" "20days" 55 3 32 0 151
"98" "C57BL6/J" "Female" "24days" 43 0 7 0 34
"99" "C57BL6/J" "Female" "24days" 47 10 23 7 65
"100" "C57BL6/J" "Male" "24days" 58 3 32 3 95
"101" "C57BL6/J" "Male" "24days" 23 8 10 4 41
"102" "C57BL6/J" "Female" "32days" 39 5 21 1 102
"103" "C57BL6/J" "Female" "32days" 33 15 32 7 0
"104" "C57BL6/J" "Male" "32days" 91 3 92 0 89
"105" "C57BL6/J" "Male" "32days" 22 0 12 0 49
"106" "C57BL6/J" "Female" "20days" 30 7 10 4 39
"107" "C57BL6/J" "Female" "20days" 46 14 34 13 126
"108" "C57BL6/J" "Female" "20days" 44 5 77 3 88
"109" "C57BL6/J" "Male" "20days" 22 0 29 0 52
"110" "C57BL6/J" "Female" "24days" 70 6 25 0 114
"111" "C57BL6/J" "Female" "24days" 38 3 28 1 54
"112" "C57BL6/J" "Male" "24days" 63 11 50 10 98
"113" "C57BL6/J" "Male" "24days" 70 2 52 0 52
"114" "C57BL6/J" "Female" "32days" 40 10 25 10 54
"115" "C57BL6/J" "Female" "32days" 46 9 23 0 42
"116" "C57BL6/J" "Male" "32days" 91 10 53 17 195
"117" "C57BL6/J" "Female" "71days" 89 28 18 4 23
"118" "C57BL6/J" "Female" "71days" 68 27 22 6 88
"119" "C57BL6/J" "Male" "71days" 91 24 26 3 83
"120" "C57BL6/J" "Female" "24days" 57 20 47 11 101
"121" "C57BL6/J" "Female" "24days" 85 14 70 7 96
"122" "C57BL6/J" "Male" "24days" 104 11 134 0 192
"123" "C57BL6/J" "Male" "43days" 40 15 17 4 50
"124" "Balb/cJ" "Female" "43days" 105 36 59 26 81
"125" "Balb/cJ" "Female" "43days" 168 38 57 45 141
"126" "Balb/cJ" "Female" "71days" 116 27 74 24 98
"127" "Balb/cJ" "Female" "71days" 110 30 63 16 86
"128" "Balb/cJ" "Male" "71days" 46 20 23 8 32
"129" "Balb/cJ" "Male" "71days" 88 34 61 21 41
"130" "Balb/cJ" "Male" "32days" 65 16 47 13 24
"131" "Balb/cJ" "Male" "32days" 104 14 63 16 16
"132" "Balb/cJ" "Male" "32days" 131 33 48 1 44
"133" "Balb/cJ" "Male" "32days" 10 2 7 0 10
"134" "Balb/cJ" "Male" "20days" 62 19 27 1 8
"135" "Balb/cJ" "Male" "20days" 13 3 2 0 23
"136" "Balb/cJ" "Female" "24days" 67 9 42 8 85
"137" "Balb/cJ" "Female" "24days" 115 18 67 6 83
"138" "Balb/cJ" "Male" "24days" 30 3 19 7 6
"139" "Balb/cJ" "Male" "24days" 50 13 37 6 72
"140" "Balb/cJ" "Female" "71days" 144 51 42 14 18
"141" "Balb/cJ" "Female" "71days" 42 20 16 7 8
"142" "Balb/cJ" "Male" "71days" 108 32 55 27 121
"143" "Balb/cJ" "Female" "43days" 91 28 4 3 0
"144" "Balb/cJ" "Male" "43days" 36 12 2 3 7
"145" "Balb/cJ" "Male" "43days" 80 32 0 2 6
"146" "Balb/cJ" "Female" "32days" 92 28 95 25 71
"147" "Balb/cJ" "Female" "32days" 60 13 30 6 51
"148" "Balb/cJ" "Male" "32days" 112 20 64 6 108
"149" "Balb/cJ" "Male" "32days" 78 19 31 17 2
"150" "Balb/cJ" "Male" "32days" 56 4 21 4 0
"151" "Balb/cJ" "Male" "32days" 0 23 73 13 54
"152" "Balb/cJ" "Female" "24days" 50 4 18 13 75
"153" "Balb/cJ" "Female" "24days" 84 5 32 0 161
"154" "Balb/cJ" "Male" "24days" 50 12 20 8 16
"155" "Balb/cJ" "Male" "24days" 54 15 23 4 10
"156" "Balb/cJ" "Female" "71days" 57 20 47 3 41
"157" "Balb/cJ" "Female" "71days" 55 26 38 15 27
"158" "Balb/cJ" "Male" "71days" 99 26 32 6 97
"159" "Balb/cJ" "Male" "71days" 34 13 26 6 34
"160" "Balb/cJ" "Female" "32days" 30 9 21 9 20
"161" "Balb/cJ" "Male" "32days" 89 24 49 16 54
"162" "Balb/cJ" "Male" "32days" 47 12 18 10 63
"163" "Balb/cJ" "Female" "20days" 55 2 23 0 1
"164" "Balb/cJ" "Female" "20days" 58 3 31 4 58
"165" "Balb/cJ" "Male" "20days" 57 6 79 0 8
"166" "Balb/cJ" "Female" "71days" 90 31 29 10 84
"167" "Balb/cJ" "Female" "71days" 48 13 19 5 15
"168" "Balb/cJ" "Male" "71days" 226 56 64 23 48
"169" "Balb/cJ" "Male" "71days" 75 20 38 12 48
"170" "Balb/cJ" "Female" "32days" 130 36 2 1 1
"171" "Balb/cJ" "Female" "32days" 81 27 0 0 0
"172" "Balb/cJ" "Male" "24days" 165 40 31 3 135
"173" "Balb/cJ" "Male" "24days" 96 27 26 8 73
"174" "Balb/cJ" "Male" "24days" 20 5 2 6 38
"175" "Balb/cJ" "Male" "24days" 16 3 2 4 22
"176" "Balb/cJ" "Male" "20days" 17 3 3 0 8
"177" "Balb/cJ" "Male" "20days" 81 6 28 0 132
"178" "Balb/cJ" "Male" "20days" 52 9 14 3 27
"179" "Balb/cJ" "Male" "20days" 68 5 25 1 5
"180" "Balb/cJ" "Male" "43days" 168 73 99 26 161
"181" "Balb/cJ" "Male" "43days" 48 17 37 6 73
"182" "Balb/cJ" "Female" "32days" 63 20 8 7 4
"183" "Balb/cJ" "Female" "32days" 84 23 5 0 0
"184" "Balb/cJ" "Male" "32days" 105 14 2 1 2
"185" "Balb/cJ" "Male" "32days" 24 7 1 1 4
"186" "Balb/cJ" "Female" "43days" 69 30 57 15 50
"187" "Balb/cJ" "Female" "43days" 36 9 18 1 9
"188" "Balb/cJ" "Female" "71days" 120 46 68 19 63
"189" "Balb/cJ" "Female" "71days" 47 14 25 6 49
"190" "Balb/cJ" "Male" "71days" 155 62 81 19 119
"191" "Balb/cJ" "Male" "71days" 71 13 25 9 62
"192" "Balb/cJ" "Female" "32days" 92 36 55 15 124
"193" "Balb/cJ" "Female" "32days" 97 20 37 14 61
"194" "Balb/cJ" "Male" "32days" 95 33 72 16 119
"195" "Balb/cJ" "Male" "32days" 127 39 85 22 116
"196" "Balb/cJ" "Female" "20days" 32 5 21 11 30
"197" "Balb/cJ" "Female" "20days" 69 16 16 10 26
"198" "Balb/cJ" "Male" "20days" 46 12 18 1 19
"199" "Balb/cJ" "Male" "71days" 118 34 92 25 157
"200" "Balb/cJ" "Male" "71days" 198 59 70 32 107
"201" "Balb/cJ" "Female" "71days" 83 17 25 17 69
"202" "Balb/cJ" "Female" "71days" 66 31 29 12 18
"203" "Balb/cJ" "Female" "43days" 129 45 66 28 104
"204" "Balb/cJ" "Female" "43days" 74 18 31 8 51
"205" "Balb/cJ" "Male" "43days" 70 10 34 4 134
"206" "Balb/cJ" "Male" "43days" 130 19 40 16 115
"207" "Balb/cJ" "Female" "43days" 103 20 56 10 116
"208" "Balb/cJ" "Female" "43days" 139 31 71 22 43
"209" "Balb/cJ" "Male" "43days" 14 6 10 2 22
"210" "Balb/cJ" "Male" "43days" 140 44 91 21 164
"211" "Balb/cJ" "Female" "32days" 92 29 0 4 42
"212" "Balb/cJ" "Female" "32days" 63 28 0 0 0
"213" "Balb/cJ" "Male" "32days" 80 21 10 12 11
"214" "Balb/cJ" "Male" "32days" 122 33 2 0 0
"215" "Balb/cJ" "Female" "32days" 192 12 49 12 47
"216" "Balb/cJ" "Female" "32days" 87 21 31 0 140
"217" "Balb/cJ" "Male" "32days" 119 22 32 16 106
"218" "Balb/cJ" "Male" "32days" 22 2 15 4 8
"219" "Balb/cJ" "Female" "24days" 26 1 19 0 17
"220" "Balb/cJ" "Female" "24days" 69 21 38 5 0
"221" "Balb/cJ" "Male" "24days" 70 4 20 5 174
"222" "Balb/cJ" "Male" "24days" 91 26 44 15 77
"223" "Balb/cJ" "Female" "32days" 104 28 18 15 27
"224" "Balb/cJ" "Female" "32days" 85 23 34 14 72
"225" "Balb/cJ" "Male" "32days" 149 38 19 17 14
"226" "Balb/cJ" "Male" "32days" 55 11 12 9 61
"227" "Balb/cJ" "Female" "32days" 117 24 16 24 113
"228" "Balb/cJ" "Female" "32days" 62 2 22 0 47
"229" "Balb/cJ" "Female" "32days" 55 16 32 12 77
"230" "Balb/cJ" "Female" "32days" 33 5 8 6 32
"231" "Balb/cJ" "Male" "32days" 140 26 59 1 162
"232" "Balb/cJ" "Male" "32days" 97 32 52 20 152
"233" "Balb/cJ" "Female" "24days" 42 5 10 5 77
"234" "Balb/cJ" "Female" "24days" 28 5 8 10 6
"235" "Balb/cJ" "Male" "24days" 45 5 5 14 92
"236" "Balb/cJ" "Male" "24days" 80 21 37 10 152
"237" "Balb/cJ" "Female" "24days" 49 9 14 6 62
"238" "Balb/cJ" "Female" "24days" 84 11 14 0 131
"239" "Balb/cJ" "Male" "24days" 49 5 29 5 24
"240" "Balb/cJ" "Male" "24days" 70 15 9 5 61
"241" "Balb/cJ" "Female" "20days" 33 15 5 2 32
"242" "Balb/cJ" "Female" "20days" 86 0 22 0 1
"243" "Balb/cJ" "Female" "20days" 80 10 4 0 34
"244" "Balb/cJ" "Female" "20days" 125 15 43 15 76
"245" "Balb/cJ" "Male" "20days" 95 16 32 3 48
"246" "Balb/cJ" "Male" "20days" 25 1 6 0 14
"247" "Balb/cJ" "Female" "32days" 79 10 25 8 82
"248" "Balb/cJ" "Female" "32days" 97 28 7 7 3
"249" "Balb/cJ" "Male" "32days" 47 10 3 9 2
"250" "Balb/cJ" "Male" "32days" 73 11 12 3 0
"251" "Balb/cJ" "Female" "20days" 38 2 7 0 76
"252" "Balb/cJ" "Female" "20days" 56 4 10 0 0
"253" "Balb/cJ" "Male" "20days" 57 2 24 0 32
"254" "Balb/cJ" "Male" "20days" 57 0 6 0 0
"255" "Balb/cJ" "Female" "32days" 114 30 25 7 49
"256" "Balb/cJ" "Female" "32days" 65 10 21 1 0
"257" "Balb/cJ" "Male" "32days" 88 30 16 5 36
"258" "Balb/cJ" "Female" "32days" 18 4 10 1 0
"259" "Balb/cJ" "Female" "32days" 45 5 14 0 10
"260" "Balb/cJ" "Male" "32days" 190 44 74 23 147
"261" "Balb/cJ" "Male" "32days" 82 18 31 10 39
"262" "Balb/cJ" "Female" "32days" 56 14 24 1 33
"263" "Balb/cJ" "Female" "32days" 108 31 38 27 122
"264" "Balb/cJ" "Male" "32days" 101 33 25 12 101
"265" "Balb/cJ" "Male" "32days" 73 7 28 0 0
"266" "Balb/cJ" "Female" "32days" 16 7 9 1 9
"267" "Balb/cJ" "Female" "32days" 23 4 12 1 32
"268" "Balb/cJ" "Female" "32days" 111 23 53 7 167
"269" "Balb/cJ" "Female" "32days" 86 22 36 6 86
"270" "Balb/cJ" "Female" "32days" 95 33 33 18 127
"271" "Balb/cJ" "Female" "32days" 92 16 64 0 202
"272" "Balb/cJ" "Male" "32days" 51 13 20 12 58
"273" "Balb/cJ" "Female" "32days" 62 11 22 3 73
"274" "Balb/cJ" "Female" "32days" 117 22 60 17 101
"275" "Balb/cJ" "Male" "32days" 84 21 24 6 74
"276" "Balb/cJ" "Male" "32days" 133 42 35 7 149
